Concept,Concept Definition,Use Cases,CodeMeta Field,Zenodo,Figshare,code.jsonld,Software Discovery Index,Software Ontology,OntoSoft,DataCite,Software Entities Model (DataCitei/JISC),Dublin Core,R Package Description,Debian Package Metadata,github,ASCL
dateCreated,The creation date of the software,3,dateCreated,-,-,dateCreated,-,-,,Date(dateType = Created),,created,-,Date,created_at,
dateModified,The latest modification date of the software,3,dateModified,-,-,dateModified,-,-,,Date(dateType = Updated),Date (dateType = Issued),modified,-,-,updated_at,
EmbargoDate,A calendar date specifying the end of a restricted access period,3,embargoDate,embargo_date,-,-,-,-,,Date(dateType = Available),Date(dateType = Available),available,-,-,,
Inputs,Objects used by the software,3,inputs,-,-,-,Formats for data inputs and outputs,data,,-,,-,-,-,,
Outputs,Objects generated by the software,3,outputs,-,-,-,Formats for data inputs and outputs,data,,-,,-,-,-,,
Function,The role or objective that the software has,"1, 3",function,-,-,-,Terms to describe software objectives or functions,Topic,,-,,-,-,-,,
Dependency,The computer hardware and software needed to run the software,"1, 2, 3, 4, 7, 8, 9",dependency,-,-,dependency,"Platform, environment, and dependencies",-,hasDependency -> Software,-,,requires,Depends,-,,
Suggests,An external software component that could enhance the software package but is not strictly required,"1, 2",suggests,,,,,,,,,,,,,
Relationship,Relationship to other related resources,,relationship,,,,,-,,,"RelatedIdentifier(relationType=isPartOf), RelatedIdentifier(relationType=isVariantFormOf), RelatedIdentifier(relationType=isPreviousVersionOf), RelatedIdentifier(relationType=isNextVersionOf)",,-,-,,
TestCoverage,-,3,testCoverage,-,-,-,-,-,,-,-,-,-,-,,
DocsCoverage,-,,docsCoverage,-,-,-,-,-,,-,,-,-,-,,
IsAutomated,-,,isAutomatedBuild,-,-,-,-,-,,-,,-,-,-,,
Package,"Ask Zenodo what this is; may be the same as ""DownloadLink"" below",?,package,filename,-,-,-,-,,-,,-,-,-,,
DownloadLink,A URL for the software distribution to download the software,,zippedCode,-,file,-,-,-,,-,,-,-,-,,
Version,The version of the software,"2, 3, 5, 7, 8, 9",version,-,-,-,Software version,Version,Software Version,Version,Version,-,Version,Version,,
InteractionMethod,-,,interactionMethod,,,,,-,,,"ResourceType(resourceTypeGeneral=InteractiveResource),ResourceType(resourceTypeGeneral=Service)",,-,-,,
ProgrammingLanguage,The computer programming language that the software is written in,"1, 2, 3, 7, 8, 9",programmingLanguage,,,,,programming language,Programming Language,,Format,,-,-,,
SoftwareCitation,The citation of the software itself,"3, 4, 5, 6",softwareCitation,,,,,,Citation,,,,,,,citation_method
SoftwarePaperCitation,The citation of the paper that describes the research that the software was associated with,"3, 4, 5, 6",softwarePaperCitation,,,,,Citation,,,,,,,,
DownloadCount,A metric indicating the number of times that the software has been downloaded,3,downloadCount,,,,,,Usage Statistics,,,,,,,
CitationCount,A metric indicating the number of times that the software has been cited,3,citationCount,,,,,,,,,,,,,
Funding,The software funding source,3,funding,,,,Associated grants,,,,,,,,,
RelatedPublications,Publications related to the software,3,relatedPublications,,,,Associated publications,,,,,,,,,ref_list
SystemRequirements,,,,,,,,,,,,,,,,
OperatingSystem,,,,,,,,,,,,,,,,
ViewsCount,A metric indicating the number of times an individual code record has been visited,,,,,,,,,,,,,,,views
notes,"Notes for editors' use, such as changes to a record or comments from correspondence with author",,,,,,,,,,,,,,,notes
topic_id,"phpBB topic id for ""discuss"" link to the discussion forum",,,,,,,,,,,,,,,topic_id
bibcode,Generated ADS bibcode,,,,,,,,,,,,,,,bibcode
alias,"Short name(s) by which code record can be retrieved; used in place of ascl id (for example, ascl.net/nemo)",,,,,,,,,,,,,,,alias
described_in,"Refereed paper in which the code is described (""code paper"")",,,,,,,,,,,,,,,described_in
used_in,Refereed paper in which the code is used but not described,,,,,,,,,,,,,,,used_in
see_also,"Codes that are similar or related to the code; similar in concept to the ""see also"" field in Linux help",,,,,,,,,,,,,,,see_also
century,Some ascl_id's are from the 20th century. This is used to order codes by date so for example 9903.001 will come before 1503.001 instead of after,,,,,,,,,,,,,,,
time_updated,"This may be the same as dateModified field above; it is the most recent date the entry in the registry (in this case, the ASCL) was updated. This is used for entities pulling records from the ASCL so they can retrieve only the delta since a date they specify (usually the date of their last pull)",,,,,,,,,,,,,,,
time_added,"This may be the same as dateCreated field above; it is the date the entry in the registry (in this case, the ASCL) was created.",,,,,,,,,,,,,,,
