Parent Type,Property,Type,Description,ASCL,BibTeX (@softwareversion),Cabal (Haskell),Rust Package Manager,Citation File Format (1.2.0),DCAT-3,DCAT-2,DOAP,DataCite,Debian Package,Dublin Core,Figshare,GitHub,ISO 19115-1:2014 Geographic information - Metadata,Java (Maven), Julia Project.toml,Leiningen (Clojure),MODS,NodeJS,NuGet,Octave,OntoSoft,Perl Module Description (CPAN::Meta),Pubspec,Python Distutils (PyPI),Python PKG-INFO,R Package Description,Ruby Gem,SPDX 2.3,SciCrunchRegistry,Software Discovery Index,Software Ontology,Trove Software Map,VIVO,Wikidata,Zenodo,bio.tools,codemeta-V1,codemeta-V2,csdms,publiccode,SPASE,swMATH,usgs-modelcatalog
schema:CreativeWork,publisher,Organization or Person,The publisher of the creative work.,,publisher,,,,dcterms:publisher,dcterms:publisher,vendor,publisher,,publisher,,,identificationInfo.citation.citedResponsibleParty[role='publisher'].party.name*,,,,originInfo/publisher,,,,os:hasPublisher,,,,,,,,,,software publisher organization,,,P123,,,publisher,publisher,,,,,
schema:CreativeWork,sponsor,Organization or Person,"A person or organization that supports a thing through a pledge, promise, or financial contribution. e.g. a sponsor of a Medical Study or a corporate sponsor of an event.",,,,,,prov:qualifiedAttribution,prov:qualifiedAttribution,,,,,,,identificationInfo.citation.citedResponsibleParty[role='sponsor'].party.name*,,,,name/role/roleTerm[@type='code']/[.='spn'],,,,,,,,,,,,,,,,,,,,,sponsor,,,,,
schema:CreativeWork,version,Number or Text,The version of the CreativeWork embodied by a specified resource.,,,version,package.version,version,dcat:version,,revision,version,numeric_version,dcterms:hasVersion,,,identificationInfo.citation.edition,version,,version,originInfo/edition,version,version,version,hasSoftwareVersion,,version,Version,Version,Version,version,PackageVersion,,Software version,Version,version,version,,version,version,version,version,,softwareVersion,,,version
schema:CreativeWork,isAccessibleForFree,Boolean,A flag to signal that the publication is accessible for free.,,,,,,,,,,,,,,distributionInfo.distributionFormat.formatDistributor.distributionOrderProcess.fees,,,,,,,,,,,,,,,,,,,,,,,,,isAccessibleForFree,,,,,
schema:CreativeWork,isPartOf,CreativeWork,Indicates a CreativeWork that this CreativeWork is (in some sense) part of. Reverse property hasPart,,,,,(identifiers),dcterms:isPartOf,dcterms:isPartOf,,,,,,,identificationInfo.associatedResource[associationType='LargerWorkCitation'].name*,,,,part,,,,,,,,,,,CONTAINED_BY,Parent Organization,,,,partOf,P361,,,,isPartOf,ModelFramework,applicationSuite,,,
schema:CreativeWork,hasPart,CreativeWork,Indicates a CreativeWork that is (in some sense) a part of this CreativeWork. Reverse property isPartOf,,,,,(identifiers),dcterms:hasPart,dcterms:hasPart,,,,,,,identificationInfo.associatedResource[associationType='isComposedOf'].name*,,,,,,,,,,,,,,,CONTAINS,Resource Relationships,,,,hasPart,P527,,,,hasPart,,,,,
schema:CreativeWork,position,Integer or Text,"The position of an item in a series or sequence of items. (While schema.org considers this a property of CreativeWork, it is also the way to indicate ordering in any list (e.g. the Authors list). By default arrays are unordered in JSON-LD",,,,,,,,,,,,,,,,,,part/[@order],,,,,,,,,,,,,,,,,,,,,position,,,,,
schema:Thing,description,Text,A description of the item.,abstract,abstract,synopsis / description,,abstract,dcterms:description,dcterms:description,description,description,Description,description,Description,description,identificationInfo.abstract,description,,description,abstract,description,description/summary,Description,hasShortDescription,"abstract, description",description,"description, long_description",Summary / Description,Description,"summary, description",PackageSummary / PackageDescription,Description,,software,description,abstract,,description,description,description,description,One-line model description / Extended description of the model,description.[lang].shortDescription / description.[lang].longDescription,ResourceHeader/Description,description,description
schema:Thing,identifier,PropertyValue or URL,"The identifier property represents any kind of identifier for any kind of Thing, such as ISBNs, GTIN codes, UUIDs etc. Schema.org provides dedicated properties for representing many of these, either as textual strings or as URL (URI) links. See background notes for more details.",ascl_id,doi / hal_id,,,identifiers / person.orcid / doi,dcterms:identifier,dcterms:identifier,,identifier,Package,identifier,,id,identificationInfo.citation.identifier.code,groupId / artifactId,uuid,,identifier,name,,,hasUniqueId,,,,,Package,,,Resource ID/Alternate IDs,Persistent Identifier,,,SWHID,,id,,identifier,identifier,DOI model / DOI assigned to model version / DOI-filelink,,ResourceID,id,identifier.url
schema:Thing,name,Text,"The name of the item (software, Organization)",title,title,name,package.authors,title,dcterms:title,dcterms:title,name,title ,,title,Title,full_name,identificationInfo.citation.title,name,name,project-name,titleInfo/title,name,name,name,hasName,name,name,name,Name,Title,name,PackageName,Resource Name,Software title,SoftwareTitle,Title,label,,title,name,name,name,Module name,name / description.[lang].localisedName,ResourceHeader/ResourceName,name,name
schema:Thing,sameAs,URL,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.",,,,,identifiers.url,dcat:qualifiedRelation,,,,,,,,identificationInfo.citation.onlineResource[function='information']*,,,,location/url[@displayName='Same As'],,,,,,,,,,,,Abbreviations/Synonyms,,,,sameAs,P2888,,,,sameAs,,,,zbmath_url / orms_id,
schema:Thing,url,URL,URL of the item.,,url,homepage,package.homepage,url / (repository) / (repository-code) / (repository-artifact) / (identifiers[i].type==url),dcat:landingPage,,homepage,,,,,,identificationInfo.citation.onlineResource[function='download']*,url,,url,location/url,homepage,projectUrl,URL,,,homepage,url,Home-Page,URL,,PackageHomePage,Resource Website/Old URLs/Alternate URLs,,,,has contact info.hasUrl,P856,,homepage,URL,url,Model website,,ResourceHeader/InformationURL/URL,homepage,other_links.usgs_website
schema:Thing,relatedLink,URL,"A link related to this object, e.g. related web pages",code site,,,package.documentation,url / (repository) / (repository-code) / (repository-artifact) / (identifiers[i].type==url),dcterms:relation,dcterms:relation,,RelatedIdentifier,,,,,identificationInfo.citation.onlineResource[function='information']*,,,,relatedItem/location/url[@displayName='Related Link'],,,,,,,,,,,,,,,,,,,,,relatedLink,,,,,other_links.weblinks
schema:Person,givenName,Text,"Given name. In the U.S., the first name of a Person. This can be used along with familyName instead of the name property",,,,,person.given-names,,vcard:hasGivenName,,givenName,,,,,party.name*,,,,name/namePart[@type='given'],,,,,,,,,givenName,,,,,,,,P735,,,,givenName,First name,,,,
schema:Person,familyName,Text,"Family name. In the U.S., the last name of an Person. This can be used along with givenName instead of the name property.",,,,,person.family-names,,vcard:hasFamilyName,,familyName,,,,,party.name*,,,,name/namePart[@type='family'],,,,,,,,,familyName,,,,,,,,P734,,,,familyName,Last name,,,,
schema:Person,email,Text,Email address,email,,,package.authors,person.email / entity.email,,vcard:hasEmail,,,,,,,party.contactInfo.address.electronicMailAddress,,,mailing-list.post,,author.email,,,,email-address,author.email/authors.email,author_email,Author-email,email,email,,,,,,,P968,,email,email,email,Email address,,,,person.email
schema:Person,affiliation,Organization,"An organization that this person is affiliated with. For example, a school/university",,organization,,,person.affiliation,,,,affiliation,,,,,party.name*,,,,name/affiliation,,,,,,,,,,,,,,,,,,affiliation,,affiliation,affiliation,Institute,,,,person.organization
schema:Person,identifier,URL,"URL identifier, ideally an ORCID ID for individuals, a FundRef ID for funders",,,,,person.orcid / identifiers / doi,dcterms:identifier,dcterms:identifier,,nameIdentifier,,,ORCID,,identificationInfo.citation.identifier.code,,,,identifier / name/nameIdentifier,,id,,,,,,,,,,,,,, relatedBy.relates.ORCID iD,,ORCID,,identifier,identifier,,,ResourceHeader/DOI,,person.orcid
schema:Person,name,Text,"The name of an Organization, or if separate given and family names cannot be resolved for a Person",,,,package.authors,entity.name,,,name,creatorName ,,,name,,identificationInfo.citation.title,,,,name/namePart,author.name,,,,author:contact-name,,,,,,PackageOriginator,,,,, relatedBy.relates.label,,name,,,name,,,,,person.name
schema:Person,address,PostalAddress or Text,Physical address of the item.,,,,,person.address / entity.address,,,,,,,,,party.contactInfo.address.deliveryPoint,,,,name/affiliation,,,,,,,,,,,,,,,,,,,,,address,Postal address1 / Postal address2,,,,address
schema:Review,reviewAspect,Text,This review is relevant to this part or facet of the object being review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnnotationType,,,,,,,,,,,,,,,
schema:Review,reviewBody,Text,The actual body of the review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnnotationComment,,,,,,,,,,,,,,,
schema:Role,endDate,Date or Datetime,"The end date and time of the item, usually a Role. In ISO 8601 date format",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endDate,,,,,
schema:Role,roleName,Text or URL,"A role played, performed, or filled by a person or organization. Suggested values: ""Design"" (algorithm), ""Architecture"", ""Debugging"", ""Maintenance"", ""Coding"", ""Documentation"", ""Testing"", ""Support"", ""Management"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roleName,,,,,
schema:Role,startDate,Date or Datetime,"The start date and time of the item, usually a Role. In ISO 8601 date format",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,startDate,,,,,
codemeta:SoftwareSourceCode,softwareSuggestions,SoftwareSourceCode,"Optional dependencies, e.g. for optional features, code development, etc.",,,,,(references),dcat:qualifiedRelation,,,,,,,,identificationInfo.additionalDocumentation*,,,,relatedItem,devDependencies / optionalDependencies,,BuildDepends,,,,,,Suggests,add_development_dependency,,,,,,,,,,suggests,softwareSuggestions,,,,,
codemeta:SoftwareSourceCode,maintainer,Person,Individual responsible for maintaining the software (usually includes an email contact address),,,maintainer,package.authors,,prov:qualifiedAttribution,prov:qualifiedAttribution,maintainer,,,,,,identificationInfo.pointOfContact,,,,name/role/roleTerm[@type='code']/[.='crp'],,,,,,,maintainer / maintainer_email,,Maintainer,,,,,,,,,,,uploadedBy,maintainer,,maintenance.contractors / maintenance.contacts,ResourceHeader/Contact,,
codemeta:SoftwareSourceCode,continuousIntegration,URL,A link to continuous integration service,,,,,,dcat:qualifiedRelation,,,,,,,,identificationInfo.additionalDocumentation*,ciManagement,,,relatedItem/location/url[@displayName='Continuous Integration Service'],,,,,,,,,,,,,,,,,,,,continuousIntegration,contIntegration,,,,,
codemeta:SoftwareSourceCode,buildInstructions,URL,A link to installation instructions/documentation,,,,,,dcat:qualifiedRelation,,,,,,,,identificationInfo.additionalDocumentation*,,,,relatedItem/location/url[@displayName='Build Instructions'],,,,,,,,,,,,,,,,,,,,buildInstructions,buildInstructions,,,,,
codemeta:SoftwareSourceCode,developmentStatus,Text,"Description of development status, e.g. active, inactive, suspended. See repostatus.org",,,stability,,,,,,,,,,,identificationInfo.status,,,,,,,,activeDevelopment,release_status,,classifiers['Development Status'],,,,,,,,Development Status,,,,maturity,developmentStatus,developmentStatus,Development still active,developmentStatus,,,
codemeta:SoftwareSourceCode,embargoEndDate,Date,"Software may be embargoed from public access until a specified date (e.g. pending publication, 1 year from publication)",,,,,,,,,,,,embargo_date,,,,,,accessCondition[@type='restriction on access'],,,,,,,,,,,,,,,,,,,,embargoDate,embargoDate,,,,,
codemeta:SoftwareSourceCode,funding,Text,Funding source (e.g. specific grant),,,,,,,,,awardNumber ,,,,,identificationInfo.associatedResource*,,,,,,,,fundingReference.awardTitle or fundingReference.awardNumber,,,,,,,,,,,, informationResourceSupportedBy.label,,grants,,funding,funding,,,ResourceHeader/Funding/AwardNumber or ResourceHeader/Funding/Project,,
codemeta:SoftwareSourceCode,issueTracker,URL,A link to software bug reporting or issue tracking system,,,bug-reports,badges.is-it-maintained-open-issues,,dcat:qualifiedRelation,,bug-database,,,,,issues_url,identificationInfo.resourceSpecificUsage.identifiedIssues.onlineResource.linkage,issueManagement,,,relatedItem/location/url[@displayName='Issue Tracker'],bugs,,Problems,,resources.bugtracker,issue_tracker,,,BugReports,,,,,,,,P1401,related_identifiers.isSupplementedBy,,issueTracker,issueTracker,,,,,
codemeta:SoftwareSourceCode,referencePublication,ScholarlyArticle,An academic publication related to the software.,described in,,,,preferred-citation,dcat:qualifiedRelation,,blog,,,,,,identificationInfo.additionalDocumentation*,,,,relatedItem[@type='isReferencedBy'],,,,,,,,,,,,Defining Citation,,,,,P1343,,,relatedPublications,referencePublication,,,ResourceHeader/PublicationInfo,standard_articles,publications.primary_publications / publications.model_citations
codemeta:SoftwareSourceCode,readme,URL,A link to software Readme file,,,,package.readme,,dcat:qualifiedRelation,,,,,,,,,,,,relatedItem[@type='constituent'],,,,,,,,,,,,,,,,,,,,readme,readme,,,,,
